txn_hash,text_data
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
0x10927...b039478,"Transaction Hash: 0x10927...b039478, Type: Contract_Creation, Block: 100047, From: 0xd08b8...17bd86c, To: 0x5c2b1...8241879, Timestamp: 2025-06-18 06:01:00, Value: 0.0, Status: Success, Direction: other"
